1, 734, 34, 6
2, 817, 2, 14
3, 402, 66, 13
4, 1955, 58, 8
5, 116, 43, 15
6, 1063, 77, 1
7, 1337, 56, 1
8, 1656, 7, 2
9, 1399, 90, 11
10, 957, 39, 10
11, 21, 29, 10
12, 1896, 47, 7
13, 1253, 5, 9
14, 937, 78, 11
15, 794, 74, 3
16, 1813, 58, 13
17, 482, 20, 3
18, 1806, 59, 2
19, 555, 24, 6
20, 1446, 88, 11
21, 8, 16, 13
22, 1898, 54, 15
23, 1845, 98, 5
24, 580, 13, 3
25, 447, 16, 10
26, 397, 16, 15
27, 1395, 71, 14
28, 630, 70, 1
29, 1680, 50, 13
30, 1679, 69, 9
31, 1987, 16, 7
32, 1671, 44, 4
33, 1554, 89, 10
34, 1112, 26, 2
35, 942, 33, 14
36, 2000, 3, 2
37, 1728, 84, 4
38, 1257, 23, 8
39, 836, 85, 1
40, 75, 74, 3
41, 1429, 13, 9
42, 1224, 3, 8
43, 1904, 78, 12
44, 1049, 51, 7
45, 533, 3, 9
46, 1570, 91, 11
47, 488, 56, 3
48, 425, 42, 8
49, 1867, 27, 2
50, 115, 78, 3
51, 502, 37, 12
52, 1563, 91, 13
53, 1499, 10, 5
54, 926, 17, 14
55, 657, 58, 7
56, 1988, 49, 2
57, 1918, 14, 12
58, 483, 23, 7
59, 396, 72, 7
60, 451, 46, 9
61, 61, 66, 4
62, 1735, 60, 2
63, 1354, 33, 9
64, 68, 70, 11
65, 518, 77, 13
66, 1294, 21, 3
67, 1489, 93, 2
68, 1601, 24, 9
69, 1495, 89, 11
70, 1743, 99, 10
71, 101, 43, 13
72, 991, 9, 14
73, 315, 82, 9
74, 505, 35, 3
75, 908, 35, 12
76, 1396, 3, 7
77, 1497, 6, 15
78, 1854, 10, 9
79, 1755, 80, 8
80, 197, 51, 14
81, 385, 20, 1
82, 676, 17, 11
83, 94, 96, 15
84, 293, 56, 7
85, 1601, 78, 10
86, 183, 75, 8
87, 1359, 85, 1
88, 172, 14, 7
89, 787, 60, 10
90, 1269, 32, 9
91, 1156, 96, 4
92, 932, 27, 3
93, 351, 95, 14
94, 331, 100, 7
95, 1027, 59, 15
96, 1400, 75, 13
97, 160, 19, 8
98, 1777, 47, 3
99, 1500, 34, 7
100, 1631, 60, 8
101, 186, 46, 4
102, 229, 8, 4
103, 1663, 59, 1
104, 35, 15, 1
105, 494, 1, 4
106, 308, 54, 6
107, 1741, 72, 9
108, 1535, 85, 2
109, 52, 66, 4
110, 446, 56, 8
111, 188, 100, 4
112, 1736, 92, 14
113, 342, 38, 9
114, 407, 68, 4
115, 509, 46, 2
116, 1698, 92, 10
117, 1283, 48, 11
118, 1249, 68, 12
119, 931, 91, 9
120, 202, 28, 6
121, 686, 57, 10
122, 279, 56, 14
123, 654, 31, 9
124, 1463, 79, 14
125, 405, 47, 3
126, 1686, 71, 4
127, 1592, 98, 5
128, 586, 54, 9
129, 1961, 18, 8
130, 938, 23, 4
131, 1935, 4, 2
132, 1115, 69, 8
133, 1132, 59, 4
134, 1272, 46, 12
135, 526, 59, 11
136, 1719, 39, 13
137, 103, 63, 14
138, 656, 44, 6
139, 1872, 91, 11
140, 1252, 7, 6
141, 1775, 48, 15
142, 1918, 12, 14
143, 472, 88, 14
144, 1497, 37, 9
145, 144, 44, 6
146, 866, 93, 7
147, 712, 94, 15
148, 1104, 8, 8
149, 1717, 33, 6
150, 61, 24, 10
151, 1107, 53, 6
152, 1947, 64, 2
153, 1363, 67, 7
154, 684, 45, 14
155, 852, 43, 6
156, 1390, 37, 13
157, 430, 58, 5
158, 1445, 74, 9
159, 119, 33, 13
160, 1249, 83, 9
161, 1989, 91, 9
162, 347, 30, 6
163, 1545, 67, 15
164, 1310, 58, 3
165, 1571, 96, 9
166, 1805, 12, 1
167, 1060, 77, 14
168, 884, 98, 7
169, 1429, 40, 15
170, 181, 47, 3
171, 547, 4, 3
172, 1704, 47, 8
173, 304, 80, 11
174, 1974, 83, 15
175, 487, 83, 11
176, 579, 84, 7
177, 148, 6, 13
178, 29, 79, 9
179, 1451, 42, 3
180, 1595, 26, 1
181, 1058, 66, 6
182, 1377, 21, 10
183, 1400, 20, 14
184, 722, 81, 9
185, 1718, 76, 4
186, 970, 26, 10
187, 82, 25, 8
188, 608, 8, 7
189, 583, 46, 12
190, 703, 30, 1
191, 784, 48, 4
192, 269, 80, 15
193, 1147, 31, 14
194, 335, 18, 1
195, 744, 92, 4
196, 1834, 3, 13
197, 1082, 64, 8
198, 124, 36, 14
199, 235, 30, 8
200, 525, 76, 2
201, 348, 34, 10
202, 714, 54, 3
203, 245, 70, 3
204, 1720, 93, 12
205, 1217, 89, 11
206, 833, 33, 1
207, 1299, 5, 14
208, 1493, 62, 14
209, 1521, 64, 9
210, 166, 64, 7
211, 1705, 68, 2
212, 616, 64, 6
213, 20, 57, 8
214, 1067, 25, 4
215, 1438, 4, 7
216, 598, 41, 15
217, 116, 67, 12
218, 801, 18, 10
219, 1217, 18, 1
220, 1654, 99, 14
221, 1439, 78, 14
222, 473, 84, 12
223, 1896, 48, 13
224, 432, 70, 11
225, 1927, 63, 5
226, 1553, 71, 8
227, 129, 21, 9
228, 20, 15, 8
229, 622, 24, 10
230, 9, 21, 3
231, 1027, 4, 10
232, 1178, 13, 11
233, 1933, 72, 9
234, 1477, 74, 2
235, 237, 80, 11
236, 790, 75, 13
237, 640, 58, 9
238, 1440, 66, 8
239, 1182, 35, 1
240, 1546, 78, 10
241, 1053, 18, 14
242, 104, 17, 14
243, 83, 30, 10
244, 1413, 3, 11
245, 1218, 23, 2
246, 1393, 72, 9
247, 67, 37, 14
248, 441, 37, 14
249, 20, 85, 13
250, 1506, 6, 8
251, 133, 2, 6
252, 1379, 29, 7
253, 1020, 2, 1
254, 323, 12, 8
255, 1684, 82, 5
256, 87, 43, 11
257, 1458, 87, 7
258, 1441, 83, 3
259, 1218, 44, 5
260, 947, 70, 10
261, 1554, 46, 11
262, 1765, 52, 15
263, 1986, 51, 2
264, 1998, 84, 14
265, 1944, 99, 7
266, 810, 100, 11
267, 1413, 39, 15
268, 1469, 54, 13
269, 48, 31, 7
270, 1387, 37, 3
271, 1423, 78, 6
272, 209, 4, 6
273, 877, 72, 6
274, 1759, 6, 6
275, 1679, 17, 11
276, 596, 54, 11
277, 1468, 27, 5
278, 625, 2, 10
279, 342, 60, 5
280, 135, 11, 5
281, 1913, 96, 2
282, 576, 30, 8
283, 734, 4, 12
284, 892, 81, 15
285, 956, 58, 9
286, 833, 86, 12
287, 994, 94, 15
288, 50, 64, 10
289, 608, 10, 9
290, 611, 83, 5
291, 189, 8, 9
292, 1012, 95, 9
293, 76, 9, 1
294, 1823, 16, 13
295, 238, 93, 9
296, 1395, 42, 8
297, 1528, 47, 12
298, 1092, 44, 1
299, 989, 53, 11
300, 1274, 22, 12
301, 471, 40, 10
302, 366, 59, 5
303, 741, 19, 9
304, 338, 22, 7
305, 389, 37, 11
306, 972, 67, 4
307, 4, 26, 3
308, 1276, 71, 6
309, 1223, 15, 5
310, 1022, 28, 11
311, 1695, 58, 12
312, 1110, 75, 13
313, 1231, 92, 3
314, 1841, 34, 5
315, 2, 98, 6
316, 101, 88, 3
317, 616, 9, 12
318, 1090, 69, 9
319, 1839, 18, 2
320, 1644, 75, 7
321, 485, 87, 1
322, 1361, 32, 12
323, 995, 56, 6
324, 1519, 99, 4
325, 612, 21, 6
326, 1279, 18, 14
327, 1383, 45, 3
328, 630, 90, 9
329, 1267, 82, 8
330, 1298, 37, 14
331, 1639, 23, 10
332, 1742, 86, 12
333, 726, 57, 1
334, 549, 49, 9
335, 1966, 62, 12
336, 1516, 62, 13
337, 1824, 69, 2
338, 324, 18, 12
339, 1254, 33, 3
340, 783, 19, 8
341, 903, 66, 12
342, 554, 13, 15
343, 1876, 67, 13
344, 490, 39, 15
345, 19, 52, 9
346, 1379, 57, 12
347, 1669, 7, 3
348, 396, 40, 5
349, 987, 94, 15
350, 1256, 65, 12
351, 1298, 84, 8
352, 1591, 25, 3
353, 355, 33, 13
354, 1691, 36, 1
355, 1293, 20, 2
356, 873, 60, 8
357, 177, 25, 8
358, 933, 98, 2
359, 75, 35, 9
360, 1891, 54, 12
361, 1108, 36, 6
362, 1579, 46, 15
363, 1000, 64, 4
364, 1830, 19, 15
365, 1827, 36, 8
366, 1942, 44, 8
367, 1156, 63, 3
368, 323, 30, 11
369, 1481, 58, 8
370, 214, 24, 13
371, 849, 17, 7
372, 964, 67, 3
373, 1576, 26, 15
374, 1786, 20, 3
375, 1023, 1, 6
376, 1119, 65, 2
377, 696, 16, 13
378, 1692, 100, 9
379, 1522, 87, 2
380, 1949, 42, 9
381, 435, 10, 7
382, 1778, 61, 11
383, 916, 61, 13
384, 666, 33, 11
385, 1401, 52, 11
386, 1679, 28, 12
387, 480, 66, 6
388, 946, 40, 1
389, 1063, 82, 6
390, 14, 29, 7
391, 1068, 87, 3
392, 718, 88, 1
393, 458, 95, 5
394, 937, 77, 2
395, 1845, 61, 12
396, 1053, 49, 14
397, 117, 53, 8
398, 471, 48, 5
399, 1396, 99, 4
400, 1229, 42, 3
401, 1395, 43, 2
402, 816, 33, 3
403, 1975, 78, 6
404, 227, 50, 10
405, 787, 70, 6
406, 953, 73, 12
407, 131, 34, 7
408, 604, 74, 1
409, 1888, 84, 2
410, 827, 34, 7
411, 244, 82, 1
412, 1223, 4, 14
413, 1728, 89, 15
414, 1319, 84, 3
415, 1687, 20, 3
416, 1885, 53, 2
417, 1475, 20, 1
418, 1821, 41, 13
419, 715, 95, 4
420, 1268, 51, 13
421, 779, 93, 15
422, 1180, 48, 4
423, 677, 47, 12
424, 1263, 62, 15
425, 1362, 81, 6
426, 1490, 45, 5
427, 1934, 88, 7
428, 322, 81, 14
429, 508, 73, 11
430, 1595, 52, 14
431, 1586, 86, 3
432, 265, 91, 1
433, 549, 21, 7
